股票代號,股票名稱,權重(%),持有股數,狀態,股數變化
2330,台積電,8.8176,1682000.0,🆕 首次抓取,0
5536,聖暉*,6.8111,2278000.0,🆕 首次抓取,0
6669,緯穎,6.6848,431000.0,🆕 首次抓取,0
3017,奇鋐,6.6107,1325000.0,🆕 首次抓取,0
2360,致茂,4.1231,1483000.0,🆕 首次抓取,0
2345,智邦,3.8628,883000.0,🆕 首次抓取,0
2449,京元電子,3.2537,4063000.0,🆕 首次抓取,0
6805,富世達,3.2334,577000.0,🆕 首次抓取,0
6139,亞翔,3.0503,1430000.0,🆕 首次抓取,0
2383,台光電,2.7563,475000.0,🆕 首次抓取,0
2368,金像電,2.5376,1164000.0,🆕 首次抓取,0
2441,超豐,2.5146,8300000.0,🆕 首次抓取,0
3036,文曄,2.4982,4669000.0,🆕 首次抓取,0
5439,高技,2.4548,2000000.0,🆕 首次抓取,0
3665,貿聯-KY,2.3737,445136.0,🆕 首次抓取,0
3264,欣銓,2.3558,7014000.0,🆕 首次抓取,0
2308,台達電,2.3033,691000.0,🆕 首次抓取,0
6257,矽格,2.2879,6451000.0,🆕 首次抓取,0
2059,川湖,2.2542,172000.0,🆕 首次抓取,0
3231,緯創,2.0391,3986000.0,🆕 首次抓取,0
2428,興勤,2.0037,3140000.0,🆕 首次抓取,0
2421,建準,1.9413,3431000.0,🆕 首次抓取,0
2451,創見,1.8931,2950000.0,🆕 首次抓取,0
8299,群聯,1.7896,440000.0,🆕 首次抓取,0
2316,楠梓電,1.6479,4280000.0,🆕 首次抓取,0
2472,立隆電,1.4701,3948000.0,🆕 首次抓取,0
6274,台燿,1.4372,916000.0,🆕 首次抓取,0
2317,鴻海,1.4278,1783000.0,🆕 首次抓取,0
3491,昇達科,1.2419,547000.0,🆕 首次抓取,0
2404,漢唐,1.2173,364000.0,🆕 首次抓取,0
3706,神達,0.8895,3000400.0,🆕 首次抓取,0
3443,創意,0.7874,99000.0,🆕 首次抓取,0
8358,金居,0.7736,781000.0,🆕 首次抓取,0
4958,臻鼎-KY,0.731,1434000.0,🆕 首次抓取,0
1785,光洋科,0.5886,2536000.0,🆕 首次抓取,0
3711,日月光投控,0.5651,668000.0,🆕 首次抓取,0
6177,達麗,0.512,2994350.0,🆕 首次抓取,0
5289,宜鼎,0.501,280000.0,🆕 首次抓取,0
2481,強茂,0.4761,1636000.0,🆕 首次抓取,0
3324,雙鴻,0.3475,108000.0,🆕 首次抓取,0
8210,勤誠,0.329,104000.0,🆕 首次抓取,0
2327,國巨*,0.3148,377000.0,🆕 首次抓取,0
9938,百和,0.2762,1461000.0,🆕 首次抓取,0
8996,高力,0.2639,146000.0,🆕 首次抓取,0
6446,藥華藥,0.2449,132583.0,🆕 首次抓取,0
8464,億豐,0.2009,144000.0,🆕 首次抓取,0
6472,保瑞,0.1818,100000.0,🆕 首次抓取,0
2885,元大金,0.1551,1117420.0,🆕 首次抓取,0
3529,力旺,0.1008,15000.0,🆕 首次抓取,0
4441,振大環球,0.052,60000.0,🆕 首次抓取,0
2548,華固,0.0112,29600.0,🆕 首次抓取,0
7722,LINEPAY,0.0021,1000.0,🆕 首次抓取,0
1519,華城,0.0017,600.0,🆕 首次抓取,0
2886,兆豐金,0.0001,1000.0,🆕 首次抓取,0
2881,富邦金,0.0,250.0,🆕 首次抓取,0
